The guitarist was kissed by the singer.,0,Illustrations/l_Kiss_Touch_Anim_Pass_Can.jpg,1,Illustration,1,2,1,2,1,1,Touch,l_Kiss_Touch_Anim_Pass_Can,Does one participant use hands to perform?,5,10,1,Patient
Here's the gravy that touched the broccoli.,0,Illustrations/l_Touch_Touch_Inanim_Act_Rel.jpg,1,Illustration,2,1,2,3,2,1,Touch,l_Touch_Touch_Inanim_Act_Rel,0,0,0,,0
Here's the referee who was kicked by the goalie.,0,Illustrations/l_Kick_Impact_Anim_Pass_Rel.jpg,1,Illustration,3,2,2,4,1,2,Contact by impact,l_Kick_Impact_Anim_Pass_Rel,Was the victim a teammate?,5,10,2,Patient
The bus hit the truck.,0,Illustrations/l_Hit_Impact_Inanim_Act_Can.jpg,1,Illustration,4,1,1,1,2,2,Contact by impact,l_Hit_Impact_Inanim_Act_Can,Was at least one vehicle impacted?,5,10,1,Patient
The woman consoled the man. ,0,Illustrations/l_Console_Psych_Anim_Act_Can.jpg,1,Illustration,5,1,1,1,1,3,Psych verb,l_Console_Psych_Anim_Act_Can,0,0,0,,0
Here's the car that was crushed by the tree.,0,Illustrations/l_Crush_Psych_Inanim_Pass_Rel.jpg,1,Illustration,6,2,2,4,2,3,Psych verb,l_Crush_Psych_Inanim_Pass_Rel,Was there impact?,5,10,1,Event
Here's the trainer who stretched the dancer.,0,Illustrations/l_Stretch_ChState_Anim_Act_Rel.jpg,1,Illustration,7,1,2,3,1,4,Change of state,l_Stretch_ChState_Anim_Act_Rel,Does the performer use their body to perform?,5,10,1,Patient
The match was lit by the candle.,0,Illustrations/l_Light_ChState_Inanim_Pass_Can.jpg,1,Illustration,8,2,1,2,2,4,Change of state,l_Light_ChState_Inanim_Pass_Can,Was something poked?,5,10,2,Event
