Here's the singer who kissed the guitarist.,0,Illustrations/l_Kiss_Touch_Anim_Act_Rel.jpg,1,Illustration,1,1,2,3,1,1,Touch,l_Kiss_Touch_Anim_Act_Rel,0,0,0,,0
Here's the broccoli that was touched by the gravy.,0,Illustrations/l_Touch_Touch_Inanim_Pass_Rel.jpg,1,Illustration,2,2,2,4,2,1,Touch,l_Touch_Touch_Inanim_Pass_Rel,Was one object a kind of sauce?,5,10,1,Agent
The goalie kicked the referee.,0,Illustrations/l_Kick_Impact_Anim_Act_Can.jpg,1,Illustration,3,1,1,1,1,2,Contact by impact,l_Kick_Impact_Anim_Act_Can,Was at least one participant an athlete?,5,10,1,Agent
The truck was hit by the bus.,0,Illustrations/l_Hit_Impact_Inanim_Pass_Can.jpg,1,Illustration,4,2,1,2,2,2,Contact by impact,l_Hit_Impact_Inanim_Pass_Can,Was there an accident?,5,10,1,Event
The man was consoled by the woman.,0,Illustrations/l_Console_Psych_Anim_Pass_Can.jpg,1,Illustration,5,2,1,2,1,3,Psych verb,l_Console_Psych_Anim_Pass_Can,Was at least one participant female?,5,10,1,Agent
The tree crushed the car.,0,Illustrations/l_Crush_Psych_Inanim_Act_Can.jpg,1,Illustration,6,1,1,1,2,3,Psych verb,l_Crush_Psych_Inanim_Act_Can,Is the heavy machine intact?,5,10,2,Patient
Here's the dancer who was stretched by the trainer.,0,Illustrations/l_Stretch_ChState_Anim_Pass_Rel.jpg,1,Illustration,7,2,2,4,1,4,Change of state,l_Stretch_ChState_Anim_Pass_Rel,0,0,0,,0
Here's the candle that lit the match.,0,Illustrations/l_Light_ChState_Inanim_Act_Rel.jpg,1,Illustration,8,1,2,3,2,4,Change of state,l_Light_ChState_Inanim_Act_Rel,Are both things reusable now?,5,10,2,Agent
