The singer kissed the guitarist.,0,Illustrations/l_Kiss_Touch_Anim_Act_Can.jpg,1,Illustration,1,1,1,1,1,1,Touch,l_Kiss_Touch_Anim_Act_Can,Do both participants play string instruments?,5,10,2,Agent
The broccoli was touched by the gravy.,0,Illustrations/l_Touch_Touch_Inanim_Pass_Can.jpg,1,Illustration,2,2,1,2,2,1,Touch,l_Touch_Touch_Inanim_Pass_Can,Was the vegetable red?,5,10,2,Patient
Here's the goalie who kicked the referee.,0,Illustrations/l_Kick_Impact_Anim_Act_Rel.jpg,1,Illustration,3,1,2,3,1,2,Contact by impact,l_Kick_Impact_Anim_Act_Rel,Was there eating?,5,10,2,Event
Here's the truck that was hit by the bus.,0,Illustrations/l_Hit_Impact_Inanim_Pass_Rel.jpg,1,Illustration,4,2,2,4,2,2,Contact by impact,l_Hit_Impact_Inanim_Pass_Rel,Did the impact come from a bicycle?,5,10,2,Agent
Here's the man who was consoled by the woman.,0,Illustrations/l_Console_Psych_Anim_Pass_Rel.jpg,1,Illustration,5,2,2,4,1,3,Psych verb,l_Console_Psych_Anim_Pass_Rel,Were both participants happy?,5,10,2,Patient
Here's the tree that crushed the car.,0,Illustrations/l_Crush_Psych_Inanim_Act_Rel.jpg,1,Illustration,6,1,2,3,2,3,Psych verb,l_Crush_Psych_Inanim_Act_Rel,Was at least one vehicle moving?,5,10,1,Agent
The dancer was stretched by the trainer.,0,Illustrations/l_Stretch_ChState_Anim_Pass_Can.jpg,1,Illustration,7,2,1,2,1,4,Change of state,l_Stretch_ChState_Anim_Pass_Can,Was one object made of cardboard?,5,10,2,Agent
The candle lit the match.,0,Illustrations/l_Light_ChState_Inanim_Act_Can.jpg,1,Illustration,8,1,1,1,2,4,Change of state,l_Light_ChState_Inanim_Act_Can,0,0,0,,0
